village,month,house,place,method,hour,species,Abdomenstatus,ParRate,id
kimi,4_septembre,1,Outdoor,CSH,1,Ag,Aj,0,kimi4_septembre1OutdoorCSH1AgAj
kimi,4_septembre,1,Outdoor,CSH,1,Ag,Aj,1,kimi4_septembre1OutdoorCSH1AgAj
kimi,4_septembre,2,Indoor,CSH,21,Ag,Aj,0,kimi4_septembre2IndoorCSH21AgAj
kimi,4_septembre,2,Indoor,CSH,23,Ag,Aj,1,kimi4_septembre2IndoorCSH23AgAj
kimi,4_septembre,2,Outdoor,CSH,2,Ag,Aj,1,kimi4_septembre2OutdoorCSH2AgAj
kimi,4_septembre,3,Indoor,CSH,21,Ag,Aj,NA,kimi4_septembre3IndoorCSH21AgAj
kimi,4_septembre,3,Indoor,CSH,21,Ag,Aj,1,kimi4_septembre3IndoorCSH21AgAj
kimi,4_septembre,3,Indoor,CSH,22,Ag,Aj,0,kimi4_septembre3IndoorCSH22AgAj
kimi,4_septembre,3,Indoor,CSH,22,Ag,Aj,0,kimi4_septembre3IndoorCSH22AgAj
kimi,4_septembre,3,Indoor,CSH,0,Ag,Aj,0,kimi4_septembre3IndoorCSH0AgAj
kimi,4_septembre,3,Indoor,CSH,0,Ag,Aj,1,kimi4_septembre3IndoorCSH0AgAj
kimi,4_septembre,3,Indoor,CSH,0,Ag,Aj,1,kimi4_septembre3IndoorCSH0AgAj
kimi,4_septembre,3,Indoor,CSH,0,Ag,Aj,0,kimi4_septembre3IndoorCSH0AgAj
kimi,4_septembre,3,Indoor,CSH,0,Ag,Aj,1,kimi4_septembre3IndoorCSH0AgAj
kimi,4_septembre,3,Indoor,CSH,1,Ag,Aj,0,kimi4_septembre3IndoorCSH1AgAj
